intervalo,estimativa,Minutos,atrasado
0,0,737,1
2,0,75,1
11,8,240,1
8,0,304,1
1,0,470,1
1,0,60,0
13,16,619,1
14,2,53,0
11,0,58,0
11,8,765,1
10,0,347,0
11,0,90,0
1,0,720,1
12,0,462,1
1,0,180,0
24,16,139,1
11,2,24,1
10,0,240,1
2,16,959,1
7,0,60,0
0,0,107,1
11,5,102,1
3,0,84,0
8,2,120,1
1,0,90,1
12,5,281,0
11,16,852,1
11,0,859,1
10,3,220,1
14,3,120,1
7,0,1370,1
11,3,123,0
4,3,240,1
39,24,1560,1
11,2,60,0
7,0,24,0
8,0,30,0
8,0,30,0
-3,0,120,1
11,8,360,1
15,3,180,0
16,5,464,0
4,16,973,0
1,0,60,0
10,0,20,0
11,16,960,1
11,0,817,0
7,0,30,0
1,0,90,0
10,0,180,0
0,0,2275,1
1,0,909,1
10,16,1207,0
25,8,670,1
7,0,40,1
9,3,210,0
8,40,2273,1
15,0,55,0
34,8,94,1
11,5,570,1
25,16,107,1
11,3,360,0
8,8,630,1
0,8,570,1
10,5,434,1
11,5,236,0
0,0,63,1
11,5,60,1
10,2,32,0
2,0,574,1
81,5,360,1
8,0,229,0
11,3,114,0
8,0,12,0
11,16,600,1
13,16,619,1
0,0,489,1
11,0,1430,0
11,5,120,0
25,8,480,1
0,8,415,1
2,0,30,1
11,4,1269,1
10,3,210,1
10,0,169,0
11,8,1244,0
10,0,69,0
11,8,754,1
14,24,1880,1
10,8,135,0
11,2,120,1
10,0,240,0
13,0,69,0
25,8,705,0
12,0,43,0
1,0,150,1
11,2,95,1
11,0,90,0
8,0,30,0
11,5,146,1
10,0,379,0
-3,0,80,1
11,3,463,1
3,0,138,1
11,2,120,0
11,5,240,1
79,1,378,1
11,8,630,0
53,3,164,0
9,2,10,1
11,5,410,1
0,0,40,1
4,0,20,0
0,16,180,1
11,16,1411,0
13,16,1033,0
3,0,60,0
11,0,60,0
31,0,780,1
25,0,1070,0
10,0,339,0
9,0,15,0
3,0,262,1
11,0,775,1
0,0,167,1
10,8,484,1
10,0,15,0
10,16,559,1
25,0,1676,1
3,0,210,0
1,0,109,0
13,0,279,0
11,8,498,1
1,0,69,1
2,0,80,0
11,0,180,0
25,16,154,1
1,0,71,1
8,0,160,0
15,5,270,0
11,8,900,0
2,0,69,0
12,2,94,0
6,0,32,0
0,16,671,1
11,2,55,1
2,0,272,0
13,8,555,1
17,0,1910,0
11,8,570,1
11,3,130,1
11,0,120,0
16,3,30,0
0,0,10,0
0,0,60,1
4,0,865,1
0,0,999,1
11,5,130,0
114,0,1119,0
8,0,120,1
9,0,30,0
11,2,30,0
13,16,320,1
8,0,69,1
14,2,120,1
14,2,49,1
18,3,114,1
11,3,150,1
11,0,30,0
11,0,199,0
11,5,632,1
19,0,60,0
4,0,40,0
3,0,110,1
3,0,253,1
11,5,420,1
148,5,426,0
15,16,375,1
7,0,120,0
14,16,215,1
4,0,45,0
7,0,55,0
1,0,143,1
14,2,120,1
11,8,474,1
22,2,15,1
-3,0,10,1
16,0,279,0
4,0,2130,1
31,0,120,0
20,4,189,0
109,16,555,1
8,0,10,0
11,3,180,0
14,5,300,1
11,8,480,1
1,0,90,1
0,0,1245,1
4,0,279,0
11,3,14,1
0,0,435,1
10,0,960,0
10,16,1128,1
3,0,169,1
10,0,165,0
0,0,120,0
3,0,360,1
11,8,735,1
7,0,290,0
22,16,444,1
11,2,176,1
2,0,499,1
0,0,367,1
37,24,150,1
0,4,286,1
4,0,150,0
2,0,998,1
35,16,320,1
9,8,150,1
7,0,199,0
11,16,1595,1
3,16,1095,1
12,0,79,0
11,5,249,1
12,5,30,0
14,2,114,0
36,3,270,1
8,0,99,0
13,5,175,1
8,0,40,0
16,5,180,1
10,0,20,0
10,0,396,1
74,16,596,0
17,3,150,0
